2019-01-20 12:07:34,643 charges_calc.py:109 DEBUG Program arguments: input file = source.json, output file = output.json, debug level = 3
2019-01-20 12:07:34,644 charges_calc.py:59  DEBUG Reading data from file: source.json
2019-01-20 12:07:34,666 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD43', 'units_rented': 4, 'price_per_day': 31, 'rental_start': '7/1/17', 'rental_end': '4/18/17'}
2019-01-20 12:07:34,666 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,667 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD51', 'units_rented': 10, 'price_per_day': 27, 'rental_start': '4/18/18', 'rental_end': '4/13/17'}
2019-01-20 12:07:34,667 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,667 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD72', 'units_rented': 9, 'price_per_day': 36, 'rental_start': '10/11/17', 'rental_end': '4/3/16'}
2019-01-20 12:07:34,667 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,668 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD51', 'units_rented': 1, 'price_per_day': 23, 'rental_start': '12/1/17', 'rental_end': '12/30/16'}
2019-01-20 12:07:34,668 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,668 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD59', 'units_rented': 4, 'price_per_day': 14, 'rental_start': '2/19/18', 'rental_end': '3/30/17'}
2019-01-20 12:07:34,668 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,668 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD43', 'units_rented': 1, 'price_per_day': 15, 'rental_start': '9/4/18', 'rental_end': '12/19/16'}
2019-01-20 12:07:34,669 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,669 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD62', 'units_rented': 3, 'price_per_day': 33, 'rental_start': '12/19/18', 'rental_end': '11/12/18'}
2019-01-20 12:07:34,669 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,669 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD46', 'units_rented': 5, 'price_per_day': 34, 'rental_start': '10/15/18', 'rental_end': '1/8/18'}
2019-01-20 12:07:34,670 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,670 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD52', 'units_rented': 2, 'price_per_day': 12, 'rental_start': '8/3/18', 'rental_end': '6/24/16'}
2019-01-20 12:07:34,670 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,670 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD32', 'units_rented': 5, 'price_per_day': 36, 'rental_start': '9/5/17', 'rental_end': '10/28/16'}
2019-01-20 12:07:34,670 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,671 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD6', 'units_rented': 8, 'price_per_day': 34, 'rental_start': '12/6/18', 'rental_end': '6/30/17'}
2019-01-20 12:07:34,671 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,671 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD43', 'units_rented': 9, 'price_per_day': 40, 'rental_start': '4/12/18', 'rental_end': '2/27/16'}
2019-01-20 12:07:34,671 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,671 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD35', 'units_rented': 8, 'price_per_day': 28, 'rental_start': '7/14/17', 'rental_end': '1/25/17'}
2019-01-20 12:07:34,672 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,672 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD84', 'units_rented': 8, 'price_per_day': 29, 'rental_start': '2/15/16', 'rental_end': '1/18/16'}
2019-01-20 12:07:34,672 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,672 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD35', 'units_rented': 8, 'price_per_day': 24, 'rental_start': '2/12/18', 'rental_end': '2/28/17'}
2019-01-20 12:07:34,672 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,673 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD29', 'units_rented': 3, 'price_per_day': 12, 'rental_start': '8/25/18', 'rental_end': '6/3/18'}
2019-01-20 12:07:34,673 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,673 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD61', 'units_rented': 1, 'price_per_day': 11, 'rental_start': '10/11/18', 'rental_end': '12/12/16'}
2019-01-20 12:07:34,673 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,674 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD29', 'units_rented': 5, 'price_per_day': 31, 'rental_start': '1/18/18', 'rental_end': '10/18/17'}
2019-01-20 12:07:34,674 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,674 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD38', 'units_rented': 9, 'price_per_day': 6, 'rental_start': '10/5/16', 'rental_end': '5/25/16'}
2019-01-20 12:07:34,675 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,675 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD33', 'units_rented': 9, 'price_per_day': 22, 'rental_start': '9/9/17', 'rental_end': '7/14/17'}
2019-01-20 12:07:34,675 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,675 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD64', 'units_rented': 4, 'price_per_day': 20, 'rental_start': '6/6/18', 'rental_end': '5/12/16'}
2019-01-20 12:07:34,676 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,676 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD6', 'units_rented': 8, 'price_per_day': 14, 'rental_start': '8/15/18', 'rental_end': '11/19/16'}
2019-01-20 12:07:34,676 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,676 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD85', 'units_rented': 1, 'price_per_day': 21, 'rental_start': '11/27/18', 'rental_end': '1/27/18'}
2019-01-20 12:07:34,677 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,677 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD75', 'units_rented': 6, 'price_per_day': 16, 'rental_start': '5/13/17', 'rental_end': '4/29/16'}
2019-01-20 12:07:34,677 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,677 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD87', 'units_rented': 6, 'price_per_day': 40, 'rental_start': '12/3/18', 'rental_end': '3/20/18'}
2019-01-20 12:07:34,677 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,678 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD0', 'units_rented': 2, 'price_per_day': 37, 'rental_start': '8/10/16', 'rental_end': '6/18/16'}
2019-01-20 12:07:34,678 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,678 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD58', 'units_rented': 5, 'price_per_day': 20, 'rental_start': '11/5/18', 'rental_end': '8/15/18'}
2019-01-20 12:07:34,678 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,679 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD6', 'units_rented': 10, 'price_per_day': 18, 'rental_start': '3/10/17', 'rental_end': '5/23/16'}
2019-01-20 12:07:34,679 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,679 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD83', 'units_rented': 6, 'price_per_day': 6, 'rental_start': '8/5/18', 'rental_end': '7/23/17'}
2019-01-20 12:07:34,680 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,680 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD36', 'units_rented': 7, 'price_per_day': 29, 'rental_start': '1/11/17', 'rental_end': '8/29/16'}
2019-01-20 12:07:34,680 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,681 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD42', 'units_rented': 1, 'price_per_day': 18, 'rental_start': '11/23/18', 'rental_end': '10/21/16'}
2019-01-20 12:07:34,683 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,683 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD66', 'units_rented': 6, 'price_per_day': 10, 'rental_start': '6/16/18', 'rental_end': '5/21/16'}
2019-01-20 12:07:34,683 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,684 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD42', 'units_rented': 9, 'price_per_day': 9, 'rental_start': '12/3/18', 'rental_end': '9/20/17'}
2019-01-20 12:07:34,684 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,684 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD68', 'units_rented': 7, 'price_per_day': 34, 'rental_start': '7/17/17', 'rental_end': '12/8/16'}
2019-01-20 12:07:34,685 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,685 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD76', 'units_rented': 6, 'price_per_day': 20, 'rental_start': '1/24/17', 'rental_end': '2/18/16'}
2019-01-20 12:07:34,685 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,686 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD98', 'units_rented': 1, 'price_per_day': 31, 'rental_start': '12/20/17', 'rental_end': '8/30/16'}
2019-01-20 12:07:34,686 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,686 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD3', 'units_rented': 4, 'price_per_day': 32, 'rental_start': '12/29/17', 'rental_end': '2/20/16'}
2019-01-20 12:07:34,687 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,687 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD80', 'units_rented': 7, 'price_per_day': 35, 'rental_start': '3/14/18', 'rental_end': '1/1/18'}
2019-01-20 12:07:34,687 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,687 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD84', 'units_rented': 3, 'price_per_day': 11, 'rental_start': '5/30/17', 'rental_end': '6/4/16'}
2019-01-20 12:07:34,688 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,688 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD88', 'units_rented': 2, 'price_per_day': 30, 'rental_start': '6/26/18', 'rental_end': '1/9/17'}
2019-01-20 12:07:34,688 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,688 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD89', 'units_rented': 10, 'price_per_day': 14, 'rental_start': '6/6/17', 'rental_end': '1/9/16'}
2019-01-20 12:07:34,689 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,689 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD22', 'units_rented': 2, 'price_per_day': 8, 'rental_start': '5/11/18', 'rental_end': '2/3/16'}
2019-01-20 12:07:34,689 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,689 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD74', 'units_rented': 1, 'price_per_day': 8, 'rental_start': '4/14/17', 'rental_end': '8/4/16'}
2019-01-20 12:07:34,690 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,690 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD11', 'units_rented': 10, 'price_per_day': 23, 'rental_start': '7/23/18', 'rental_end': '6/4/17'}
2019-01-20 12:07:34,690 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,690 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD58', 'units_rented': 10, 'price_per_day': 28, 'rental_start': '7/19/18', 'rental_end': '12/18/17'}
2019-01-20 12:07:34,691 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,691 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD83', 'units_rented': 8, 'price_per_day': 6, 'rental_start': '1/3/17', 'rental_end': '8/1/16'}
2019-01-20 12:07:34,691 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,691 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD39', 'units_rented': 2, 'price_per_day': 11, 'rental_start': '11/30/18', 'rental_end': '2/25/17'}
2019-01-20 12:07:34,691 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,692 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD9', 'units_rented': 5, 'price_per_day': 16, 'rental_start': '12/4/18', 'rental_end': '4/5/17'}
2019-01-20 12:07:34,692 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,692 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD83', 'units_rented': 7, 'price_per_day': 13, 'rental_start': '3/2/18', 'rental_end': '7/25/17'}
2019-01-20 12:07:34,692 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,692 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD76', 'units_rented': 10, 'price_per_day': 27, 'rental_start': '12/15/18', 'rental_end': '7/30/18'}
2019-01-20 12:07:34,693 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,693 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD75', 'units_rented': 10, 'price_per_day': 6, 'rental_start': '3/23/18', 'rental_end': '5/23/17'}
2019-01-20 12:07:34,693 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,693 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD23', 'units_rented': 8, 'price_per_day': 5, 'rental_start': '12/17/18', 'rental_end': '6/21/17'}
2019-01-20 12:07:34,694 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,694 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD79', 'units_rented': 3, 'price_per_day': 11, 'rental_start': '10/13/16', 'rental_end': '8/11/16'}
2019-01-20 12:07:34,694 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,694 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD13', 'units_rented': 2, 'price_per_day': 23, 'rental_start': '9/13/17', 'rental_end': '5/1/17'}
2019-01-20 12:07:34,695 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,695 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD63', 'units_rented': 3, 'price_per_day': 21, 'rental_start': '1/20/18', 'rental_end': '3/22/17'}
2019-01-20 12:07:34,695 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,695 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD66', 'units_rented': 9, 'price_per_day': 16, 'rental_start': '11/15/16', 'rental_end': '5/2/16'}
2019-01-20 12:07:34,695 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,695 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD38', 'units_rented': 8, 'price_per_day': 39, 'rental_start': '11/20/18', 'rental_end': '1/3/16'}
2019-01-20 12:07:34,696 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,696 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD31', 'units_rented': 7, 'price_per_day': 31, 'rental_start': '7/28/18', 'rental_end': '7/15/16'}
2019-01-20 12:07:34,696 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,697 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD33', 'units_rented': 6, 'price_per_day': 13, 'rental_start': '10/20/18', 'rental_end': '9/17/18'}
2019-01-20 12:07:34,697 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,697 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD34', 'units_rented': 8, 'price_per_day': 20, 'rental_start': '9/29/18', 'rental_end': '11/3/16'}
2019-01-20 12:07:34,697 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,697 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD93', 'units_rented': 7, 'price_per_day': 25, 'rental_start': '8/11/18', 'rental_end': '8/16/16'}
2019-01-20 12:07:34,698 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,698 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD35', 'units_rented': 3, 'price_per_day': 16, 'rental_start': '5/24/17', 'rental_end': '3/30/16'}
2019-01-20 12:07:34,698 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,698 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD30', 'units_rented': 9, 'price_per_day': 22, 'rental_start': '1/7/18', 'rental_end': '7/19/17'}
2019-01-20 12:07:34,698 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,698 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD72', 'units_rented': 7, 'price_per_day': 32, 'rental_start': '12/23/18', 'rental_end': '5/19/17'}
2019-01-20 12:07:34,699 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,699 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD3', 'units_rented': 4, 'price_per_day': 12, 'rental_start': '7/10/18', 'rental_end': '3/6/16'}
2019-01-20 12:07:34,699 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,699 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD61', 'units_rented': 6, 'price_per_day': 12, 'rental_start': '5/18/18', 'rental_end': '3/14/18'}
2019-01-20 12:07:34,699 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,700 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD43', 'units_rented': 8, 'price_per_day': 24, 'rental_start': '12/16/16', 'rental_end': '9/10/16'}
2019-01-20 12:07:34,700 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,700 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD71', 'units_rented': 4, 'price_per_day': 21, 'rental_start': '4/24/18', 'rental_end': '8/7/17'}
2019-01-20 12:07:34,700 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,700 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD60', 'units_rented': 3, 'price_per_day': 37, 'rental_start': '4/14/18', 'rental_end': '2/15/16'}
2019-01-20 12:07:34,701 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,701 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD34', 'units_rented': 4, 'price_per_day': 27, 'rental_start': '2/3/17', 'rental_end': '12/11/16'}
2019-01-20 12:07:34,701 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,701 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD44', 'units_rented': 4, 'price_per_day': 39, 'rental_start': '10/15/16', 'rental_end': '5/25/16'}
2019-01-20 12:07:34,702 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,702 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD0', 'units_rented': 4, 'price_per_day': 28, 'rental_start': '3/18/18', 'rental_end': '9/25/16'}
2019-01-20 12:07:34,702 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,702 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD54', 'units_rented': 9, 'price_per_day': 15, 'rental_start': '9/16/18', 'rental_end': '1/11/17'}
2019-01-20 12:07:34,703 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,703 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD48', 'units_rented': 9, 'price_per_day': 39, 'rental_start': '5/16/18', 'rental_end': '3/15/18'}
2019-01-20 12:07:34,703 charges_calc.py:79  WARNING Rental start date is after rental end date.
2019-01-20 12:07:34,703 charges_calc.py:86  ERROR Bad data in file. Skipping data: {'product_code': 'PRD35', 'units_rented': 5, 'price_per_day': 40, 'rental_start': '8/1/18', 'rental_end': '4/7/18'}
